Ticker.Symbol,Sector,After.Tax.ROE,Capital.Expenditures,Cash.Ratio,Cash.and.Cash.Equivalents,Current.Ratio,Depreciation,Gross.Margin,Gross.Profit,Interest.Expense,Investments,Liabilities,Long.Term.Debt,Long.Term.Investments,Net.Cash.Flow,Net.Income,Operating.Income,Operating.Margin,Profit.Margin,Quick.Ratio,Research.and.Development,Total.Assets,Total.Equity,Total.Liabilities,Earnings.Per.Share,Estimated.Shares.Outstanding,wide$percent_change,Returns
ORLY,Consumer Discretionary,47,-414020000,4,116301000,99,212362000,52,4162643000,57129000,4074000,271310000,1390018000,13219000,-134259000,931216000,1514021000,19,12,12,0,6676684000,1961314000,4715370000,9.32,99915879.83,0.315647412,High
OXY,Energy,32,-5.27E+09,64,4.39E+09,137,4.54E+09,53,6.68E+09,1.47E+08,8.19E+08,-2.32E+09,6.88E+09,2.40E+09,-5.88E+08,-7.83E+09,-9.76E+09,78,63,123,0,4.34E+10,2.44E+10,1.91E+10,-10.23,765298142.7,-0.161270312,Low
PBI,Industrials,228,-166329000,34,650557000,102,173312000,56,2019469000,87583000,-67522000,-89042000,2507912000,763054000,-403561000,407943000,603570000,17,11,98,110156000,6141462000,178721000,5962740000,2.04,199972058.8,-0.152646732,Low
PCAR,Industrials,23,-1725200000,110,2016400000,171,0,18,3379200000,1.18E+08,-676900000,339500000,5.80E+09,9303600000,278800000,1.60E+09,2001800000,11,9,146,239800000,21109800000,6940400000,11605100000,4.52,354867256.6,-0.303043661,Low
PCG,Utilities,5,-5.17E+09,6,3.57E+08,91,2.61E+09,24,4.12E+09,7.73E+08,-1.24E+08,-1.20E+07,1.59E+10,2.61E+09,-2.80E+07,8.88E+08,1.51E+09,9,5,84,0,6.32E+10,1.66E+10,4.64E+10,1.81,490607734.8,-0.0009392,High
PCLN,Consumer Discretionary,29,-173915000,184,1478071000,247,346759000,93,8591807000,160229000,-3585452000,166201000,6158443000,7931363000,-1671386000,2551360000,3258907000,35,28,247,0,17420575000,8795469000,8625106000,50.09,50935516.07,0.118171209,High
PEG,Utilities,13,-3.86E+09,11,3.94E+08,98,1.43E+09,40,4.18E+09,3.93E+08,-3.70E+07,-2.00E+08,8.83E+09,3.73E+09,-8.00E+06,1.68E+09,2.96E+09,28,16,70,0,3.75E+10,1.31E+10,2.45E+10,3.32,505722891.6,-0.065684641,Low
PFE,Health Care,11,-1.40E+09,79,3.64E+09,149,5.16E+09,80,3.92E+10,0,1.46E+10,7.28E+08,3.28E+10,1.60E+10,2.98E+08,6.96E+09,1.18E+10,24,14,123,7.69E+09,1.67E+11,6.47E+10,1.03E+11,1.13,6159292035,0.036276051,High
PM,Consumer Staples,52,-9.60E+08,22,3.42E+09,103,7.54E+08,24,1.74E+10,1.01E+09,-5.50E+07,1.06E+08,2.53E+10,8.90E+08,1.74E+09,6.87E+09,1.06E+10,14,9,48,0,3.40E+10,-1.32E+10,4.72E+10,4.42,1554977376,0.07931255,High
PNR,Industrials,2,-134300000,8,126300000,187,271700000,34,2185800000,108700000,0,-80400000,4709300000,0,15900000,-76400000,177200000,3,1,108,119600000,1.19E+10,4008800000,7848200000,-0.42,181904761.9,-0.254290869,Low
PNW,Utilities,10,-1076087000,3,39488000,62,571664000,44,1525768000,194964000,-33508000,-94859000,3462391000,747302000,31884000,437257000,854602000,24,13,42,0,15028258000,4583917000,10444341000,3.94,110978934,-0.056067854,Low
PPG,Materials,28,-4.54E+08,31,1.31E+09,143,4.71E+08,44,6.56E+09,1.25E+08,3.27E+08,1.92E+08,4.03E+09,3.67E+08,6.25E+08,1.41E+09,1.84E+09,12,10,108,4.76E+08,1.71E+10,4.98E+09,1.21E+10,5.18,271428571.4,-0.572485388,Low
PPL,Utilities,7,-3.53E+09,22,8.36E+08,68,9.42E+08,78,5.95E+09,8.71E+08,1.36E+08,-2.38E+08,1.86E+10,0,-5.63E+08,6.82E+08,2.83E+09,37,9,59,0,3.93E+10,9.92E+09,2.94E+10,1.01,675247524.8,-0.060556039,Low
PSX,Energy,18,-5.76E+09,41,3.07E+09,163,1.10E+09,22,2.13E+10,3.10E+08,0,-2.53E+09,8.84E+09,1.21E+10,-2.13E+09,4.23E+09,4.43E+09,4,4,117,0,4.86E+10,2.31E+10,2.55E+10,7.78,543316195.4,0.140864804,High
PWR,Industrials,10,-209968000,11,128771000,189,198944000,12,923665000,8024000,-4338000,150531000,475364000,0,-61744000,321824000,237503000,3,4,183,0,5213543000,3085494000,2128049000,1.59,202405031.4,-0.286720651,Low
PX,Materials,35,-1.54E+09,8,1.47E+08,139,1.11E+09,45,4.82E+09,1.61E+08,0,-5.50E+07,8.98E+09,6.65E+08,2.10E+07,1.55E+09,2.32E+09,22,14,111,9.30E+07,1.83E+10,4.39E+09,1.39E+10,5.39,287012987,-0.209632575,Low
R,Industrials,15,-2667978000,4,60945000,65,1192728000,23,1485444000,150434000,70980000,-93132000,4868097000,510246000,10853000,304768000,509640000,8,5,62,0,10952580000,1987111000,8965469000,5.75,53003130.43,-0.387937499,Low
RCL,Consumer Discretionary,8,-1613340000,9,390713000,19,827008000,39,3199681000,277725000,-110507000,-87122000,7767378000,0,-67676000,665783000,874902000,11,8,17,0,20921855000,8063039000,12858816000,3.03,219730363,0.227829662,High
REGN,Health Care,17,-677933000,129,809102000,359,74909000,90,3711019000,14241000,-229668000,912549000,362919000,632162000,160383000,636056000,1251916000,31,15,330,1620577000,5609132000,3654837000,1954295000,6.17,103088492.7,0.323266289,High
RHI,Industrials,36,-75057000,34,224577000,183,53465000,42,2114471000,0,-28225000,80180000,1007000,0,-62542000,357796000,580480000,11,7,183,0,1671044000,1003781000,667263000,2.72,131542647.1,-0.19253172,Low
ROP,Industrials,13,-36260000,108,778511000,225,208397000,60,2164646000,84225000,0,2916000,3264417000,0,168081000,696067000,1027918000,29,19,198,0,10168365000,5298947000,4869418000,6.92,100587716.8,0.213879026,High
RRC,Energy,26,-1035085000,0,471000,125,1200712000,45,532736000,166439000,367000,-66667000,2651303000,7218000,23000,-713685000,-872936000,74,60,115,0,6900031000,2759658000,4140373000,-4.29,166360139.9,-0.539569681,Low
RSG,Industrials,10,-945600000,2,32400000,67,1.05E+09,39,3596400000,364900000,0,29600000,7527400000,0,-42800000,749900000,1558800000,17,8,67,0,20535900000,7774100000,12761800000,2.14,350420560.7,0.092919304,High
SCG,Utilities,14,-1.15E+09,9,1.76E+08,71,4.14E+08,38,1.67E+09,3.18E+08,4.93E+08,-1.92E+08,5.88E+09,7.10E+07,3.90E+07,7.46E+08,1.31E+09,30,17,55,0,1.71E+10,5.44E+09,1.17E+10,5.22,142911877.4,0.001490066,High
SE,Energy,3,-2.85E+09,6,2.13E+08,49,7.78E+08,55,2.90E+09,6.36E+08,9.80E+07,8.30E+07,1.29E+10,2.90E+09,-2.00E+06,1.96E+08,1.43E+09,27,4,40,0,3.29E+10,6.53E+09,2.64E+10,0.29,675862069,-0.340495822,Low
