"X","Ticker.Symbol","Period.Ending","After.Tax.ROE","Capital.Expenditures","Cash.Ratio","Cash.and.Cash.Equivalents","Current.Ratio","Depreciation","Gross.Margin","Gross.Profit","Interest.Expense","Investments","Liabilities","Long.Term.Debt","Long.Term.Investments","Net.Cash.Flow","Net.Income","Operating.Income","Operating.Margin","Profit.Margin","Quick.Ratio","Research.and.Development","Total.Assets","Total.Equity","Total.Liabilities","Earnings.Per.Share","Estimated.Shares.Outstanding"
587,"ETR","2015-12-31",2,-2500860000,44,1350961000,132,2117236000,35,4063978000,670096000,-58211000,-520388000,13138557000,5822998000,-71065000,-156734000,-299165000,3,1,96,0,44647681000,9256791000,35390890000,-0.99,158317171.717
590,"EW","2014-12-31",37,-82900000,338,653800000,524,68600000,73,1697300000,17200000,-527400000,2.41e+08,598100000,246700000,233400000,811100000,1162500000,50,35,454,346500000,3.523e+09,2191400000,1331600000,7.62,106443569.554
591,"EW","2015-12-31",20,-102700000,257,718400000,430,65800000,75,1876500000,17200000,119600000,163900000,599900000,383500000,64600000,494900000,635700000,25,20,359,383100000,4059300000,2503100000,1556200000,2.3,215173913.043
598,"EXPD","2014-12-31",20,-37472000,98,927107000,233,49292000,30,1981427000,0,-1.4e+07,140426000,0,0,-320545000,376888000,594648000,9,6,233,0,2890905000,1868408000,1022497000,1.92,196295833.333
599,"EXPD","2015-12-31",27,-44383000,94,807796000,231,46012000,33,2187777000,0,40294000,-65782000,0,0,-119311000,457223000,721484000,11,7,231,0,2582438000,1691993000,890445000,2.42,188935123.967
601,"EXPE","2014-12-31",22,-328387000,43,1437588000,70,427601000,80,4584404000,98089000,-37134000,440767000,1746787000,286882000,381667000,398097000,517764000,9,7,70,0,9020538000,1784267000,7236271000,3.09,128833980.583
602,"EXPE","2015-12-31",16,-787041000,29,1687623000,50,671206000,80,5362758000,126195000,-56180000,325589000,3183140000,642802000,273599000,764465000,413566000,6,11,50,0,15485675000,4864394000,10621281000,5.87,130232538.33
609,"F","2014-12-31",5,-7.463e+09,155,1.0757e+10,658,7.423e+09,8,1.2174e+10,7.97e+08,3.8348e+10,5.729e+09,1.19171e+11,3.357e+09,-3.711e+09,1.231e+09,3.32e+08,0,1,619,0,2.08615e+11,2.4438e+10,1.84177e+11,0.81,1519753086.42
610,"F","2015-12-31",26,-7.196e+09,43,1.4272e+10,125,7.966e+09,12,1.8149e+10,7.73e+08,3.7751e+10,7.758e+09,8.9879e+10,4.8778e+10,3.515e+09,7.373e+09,7.647e+09,5,5,114,0,2.24925e+11,2.8642e+10,1.96283e+11,1.86,3963978494.62
613,"FAST","2014-12-31",26,-189474000,31,114496000,422,72672000,51,1897402000,915000,451000,72169000,0,0,55990000,494150000,787590000,21,13,190,0,2359102000,1915217000,443885000,1.67,295898203.593
614,"FAST","2015-12-31",29,-155168000,35,129019000,446,86598000,50,1948934000,3108000,0,5148000,302950000,0,14523000,516361000,828755000,21,13,201,0,2532462000,1801289000,731173000,1.77,291729378.531
617,"FB","2014-12-31",8,-1.831e+09,786,4.315e+09,940,1.243e+09,83,1.0313e+10,0,1.243e+09,6.87e+08,1.19e+08,0,9.92e+08,2.925e+09,4.994e+09,40,23,940,2.666e+09,3.9966e+10,3.6096e+10,3.87e+09,1.12,2611607142.86
618,"FB","2015-12-31",8,-2.523e+09,958,4.907e+09,1125,1.945e+09,84,1.5061e+10,0,-6.7e+09,1.904e+09,1.07e+08,0,5.92e+08,3.669e+09,6.225e+09,35,20,1125,4.816e+09,4.9407e+10,4.4218e+10,5.189e+09,1.31,2800763358.78
622,"FBHS","2014-12-31",7,-127500000,27,191900000,186,98800000,34,1366900000,10400000,0,-95600000,643700000,0,-49500000,158100000,403500000,10,4,120,0,4052900000,2259500000,1793400000,0.98,161326530.612
623,"FBHS","2015-12-31",13,-128500000,31,238500000,187,115700000,35,1581900000,31900000,0,41200000,1171600000,0,46600000,3.15e+08,496100000,11,7,114,0,4878600000,2450900000,2427700000,1.97,159898477.157
626,"FCX","2014-12-31",3,-7.215e+09,9,4.64e+08,175,4.063e+09,9,1.934e+09,6.3e+08,0,-5.98e+08,1.8371e+10,0,-1.521e+09,-5.51e+08,9.7e+07,0,3,71,1.26e+08,5.8674e+10,1.8287e+10,4.0387e+10,-1.26,437301587.302
627,"FCX","2015-12-31",155,-6.353e+09,5,2.24e+08,173,3.706e+09,80,-1.2647e+10,6.45e+08,0,-9.16e+08,1.9779e+10,0,-2.4e+08,-1.2156e+10,-1.3382e+10,84,77,62,1.27e+08,4.6577e+10,7.828e+09,3.8749e+10,-11.31,1074801061.01
642,"FIS","2014-12-31",11,-148500000,31,492800000,155,6.46e+08,33,2085500000,172800000,0,22700000,5054600000,0,-54700000,706900000,1270600000,20,11,155,0,14520500000,6556700000,7963800000,2.38,297016806.723
643,"FIS","2015-12-31",7,-133300000,29,687600000,149,680300000,33,2.202e+09,199100000,0,91100000,11497800000,0,194800000,650800000,1099200000,17,10,149,0,26268800000,9.321e+09,16947800000,2.22,293153153.153
